Author,Title,ISBN,Location,Owner
Allen Barnett,"The Body and Its Dangers, and Other Stories",312058241,Storage,Box #01
James Barr,Quatrefoil,932870163,Storage,Box #01
Nevada Barr,Bittersweet,933216645,Storage,Box #26
Torsten Barring,Peter Thornwell,1563331497,Storage,Box #17
Judith Barrington,An Intimate Wilderness,933377096,Storage,Box #35
Joseph Barry,Infamous Woman,385068301,Storage,Box #39
Neil Bartlett,Ready to Catch Him Should He Fall,525933506,Storage,Box #01
Edward Batchelor (Editor),Homosexuality and Ethics,829806156,Storage,Box #36
Robert E. Bauman,The Gentleman From Maryland,877956863,Storage,Box #42
Laura Baumbach; Josh Lanyon; Alex Beecroft,The Mysterious,1608200981,Storage,Box #01
"Baxt, George (Author)",I! SAID the DEMON,0-930330-57-9,Storage,Box #21
George Baxt (Author),The Affair at Royalties,978-0684127460,Storage,Box #21
"Baxt, George (Author)",The Alfred Hitchcock Murder Case,0-930330-55-2,Storage,Box #21
George Baxt (Author),The Bette Davis Murder Case,0-312-10939-3,Storage,Box #21
George Baxt (Author),The Dorothy Parker Murder Case,0-312-21791-9,Storage,Box #21
George Baxt (Author),The Greta Garbo Murder Case,0-312-06988-X,Storage,Box #21
George Baxt (Author),The Mae West Murder Case,0-312-09864-2,Storage,Box #21
George Baxt (Author),The Marlene Dietrich Murder Case,0-312-09334-9,Storage,Box #21
"Baxt, George (Author)",A Queer Kind of Death,0-930330-46-3,Storage,Box #01
"Baxt, George",A Queer Kind of Love,1883402018,Storage,Box #01
"Baxt, George (Author)",Swing Low Sweet Harriet,0-90330-56-0,Storage,Box #21
George Baxt (Author),The Talking Pictures Murder Case,0-312-05043-7,Storage,Box #21
"Baxt, George (Author)",The Tallulah Bankhead Murder Case,0-930330-89-7,Storage,Box #21
Paul Baxter,Sexual Espionage,,Storage,Box #17
Sandy Bayer,The Crystal Cage,1555831583,Storage,Box #26
Sandy Bayer,The Crystal Curtain,1555831230,Storage,Box #26
M. F. Beal,Angel Dance,913780162,Storage,Box #26
Stefan Bechtel; The Editors of Men’s Health; Prevention Magazines,The Sex Encyclopedia,671743244,Storage,Box #35
Rose Beecham,Introducing Amanda Valentine,1562800213,Storage,Box #26
Rose Beecham,Second Guess,1562800698,Storage,Box #26
Alex Beecroft,False Colors,9780762436583,Storage,Box #17
Rebecca Béguin,Hers Was the Sky,934678472,Storage,Box #26
Rebecca Béguin,In Unlikely Places,934678251,Storage,Box #26
Rebecca Béguin,Runway at Eland Springs,934678103,Storage,Box #26
Alan P. Bell; Sue Kiefer Hammersmith; Martin S. Weinberg,"Sexual Preference, Its Development in Men and Women",253166721,Storage,Box #35
"Alan P. Bell; Martin S. Weinberg, Ph.D.",Homosexualities,671242121,Storage,Box #36
Sara Bell,The Magic in Your Touch,9780975436639,Storage,Box #01
Denis Belloc; William Rodarmor (Translator),Neons,879238585,Storage,Box #01
P. H. Bennett,Dark Master,,Storage,Box #17
E.F. Benson; Peter Burton (Introduction),Colin,1873741154,Storage,Box #01
Reuben Bercovitch,Hasen,879235772,Storage,Box #01
David Bergman (Editor),Men on Men 5,452272440,Storage,Box #01
David Bergman,The Violet Quill Reader,965030121,Storage,Box #01
Kathie Bergquist; Robert Mcdonald,A Field Guide to Gay & Lesbian Chicago,1893121038,Storage,Box #38
Frits Bernard (Author); A. Ronaldson (Translator),Persecuted Minority,9072450035,Storage,Box #01
Jeff Black,Extra Credit,932870708,Storage,Box #01
Jeff Black,Gardy & Erin,915175371,Storage,Box #01
Marci Blackman (Editor); Trebor Healey (Editor); Susie Bright (Introduction),Beyond Definition,916397300,Storage,Box #16
Julie Blackwomon; Nona Caspers,Voyages Out 2,931188903,Storage,Box #26
Evelyn Blackwood (Editor),The Many Faces of Homosexuality,918393205,Storage,Box #40
Alice Bloch,Law of Return,932870481,Storage,Box #26
Ally Blue,Easy,9781934531624,Storage,Box #01
Ally Blue,"Love, Like Ghosts (Bay City Paranormal Investigations, Book 6)",9781605047911,Storage,Box #24
Ally Blue,Love's Evolution,1599982838,Storage,Box #01
Ally Blue,"Oleander House (Bay City Paranormal Investigations, Book 1)",1599983559,Storage,Box #24
Ally Blue,These Haunted Heights,9781608201846,Storage,Box #01
Ally Blue,"Where the Heart is (Bay City Paranormal Investigations, Book 7)",9781605044255,Storage,Box #24
Warren J. Blumenfeld (Editor),Homophobia,807079189,Storage,Box #36
Philip Blumstein (Editor); Pepper Schwartz (Editor),American Couples,688037720,Storage,Box #36
Nellie Bly,Barbra Streisand,786000511,Storage,Box #39
C.F. Borgman,River Road,453006124,Storage,Box #01
Mary V. Borhek,My Son Eric,829803726,Storage,Box #42
John Boswell,Same-Sex Unions in Premodern Europe,679432280,Storage,Box #41
Patricia Bosworth,Montgomery Clift,553124552,Storage,Box #39
Terry Boughner; Michael Willhoite (Illustrator),Out of All Time,1555831044,Storage,Box #41
Brian Bouldrey,The Genius of Desire,345383346,Storage,Box #01
Cleve Boutell,A Certain Discontent,1562800094,Storage,Box #26
J. P. Bowie,Time After Time,9781608200566,Storage,Box #01
Paul Bowles,The Sheltering Sky,880015829,Storage,Box #21
Blanche Mccrary Boyd,The Revolution of Little Girls - Duplicate Book Club Copy,679400907,Storage,Box #26
Blanche Mccrary Boyd,The Revolution of Little Girls,679400907,Storage,Box #26
Marion Zimmer Bradley,The Catch Trap,345315642,Storage,Box #01
Marion Zimmer Bradley,Thendara House,886772400,Storage,Box #25
Jan Bradshaw (Editor); Mary Hemming (Editor); Alison Hennegan (Introduction),Girls Next Door,704328712,Storage,Box #26
Maureen Brady,"Folly, a Novel",895940914,Storage,Box #26
Maureen Brady,Give Me Your Good Ear,933216009,Storage,Box #26
Christopher Bram,Almost History,452269660,Storage,Box #02
Christopher Bram,Hold Tight,155611074X,Storage,Box #02
Christopher Bram,In Memory of Angel Clare,452264340,Storage,Box #02
Christopher Bram,Surprising Myself,805006699,Storage,Box #02
Gerd Brantenberg,What Comes Naturally,704340038,Storage,Box #26
Gerd Brantenberg (Translator); Louis Mackay (Translator),Egalia’s Daughters,931188342,Storage,Box #25
Perry Brass,Mirage,962712310,Storage,Box #25
Perry Brass,Out There,962712345,Storage,Box #02
Edward M. Brecher; William Masters (Foreword); Virginia Johnson (Foreword),The Sex Researchers,,Storage,Box #35
Joyce Bright,Sunday’s Child,941483126,Storage,Box #27
Susie Bright (Editor),Herotica,940208113,Storage,Box #17
Susie Bright (Editor),Herotica 2,452267870,Storage,Box #17
Poppy Z. Brite,Lost Souls,440212812,Storage,Box #25
Harold Brodkey,Profane Friendship,374235449,Storage,Box #02
Jim Brogan,"Casey, the Bi-Coastal Kid",941362019,Storage,Box #21
Jim Brogan,Jack and Jim,941362000,Storage,Box #42
Nicole Brossard,Mauve Desert,889103895,Storage,Box #27
Bethany Brown; Ashlyn Kane,True North,1935192426,Storage,Box #02
Howard Brown,"Familiar Faces, Hidden Lives",156301202,Storage,Box #36
Hudson Brown (Author); Debbie Mackall (Illustrator),The First Official Gay Handbook,943084032,Storage,Box #40
P. A. Brown,L.A. Heat,9781934531853,Storage,Box #02
Rebecca Brown,The Evolution of Darkness,946189854,Storage,Box #27
Rebecca Brown,The Gifts of the Body,60171596,Storage,Box #21
Rebecca Brown,The Terrible Girls,872862666,Storage,Box #27
Rita Mae Brown,Bingo,055305306X,Storage,Box #27
Rita Mae Brown,In Her Day,913780146,Storage,Box #27
Rita Mae Brown,Rest in Pieces (Mrs. Murphy Mysteries),553562398,Storage,Box #27
Rita Mae Brown,Six of One,553127993,Storage,Box #27
Rita Mae Brown,Southern Discomfort,553231081,Storage,Box #27
Rita Mae Brown,Sudden Death,553240307,Storage,Box #27
Rita Mae Brown,Venus Envy ,553564978,Storage,Box #27
Rita Mae Brown,Wish You Were Here (Mrs. Murphy Mysteries),553287532,Storage,Box #27
Russell Brown,Sherlock Holmes and the Mysterious Friend of Oscar Wilde,312022808,Storage,Box #02
Sue Brown,Chance to Be King,9781453848661,Storage,Box #02
Jed A. Bryan,A Cry in the Desert,934411042,Storage,Box #21
